# f real_h(f) imag_h(f)
0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00
2.500000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.500000000000000000e-01 -0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
1.250000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.500000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.750000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
2.250000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.500000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.750000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
3.250000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
3.500000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.750000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.250000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
4.500000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
4.750000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00
5.250000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00
5.500000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00
5.750000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00
6.250000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.500000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00
6.750000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00
7.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.250000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.500000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00
7.750000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00
8.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.250000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.500000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
8.750000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
9.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.250000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.500000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.750000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
1.000000000000000000e+01 -0.000000000000000000e+00 0.000000000000000000e+00
1.025000000000000000e+01 -0.000000000000000000e+00 0.000000000000000000e+00
1.050000000000000000e+01 -0.000000000000000000e+00 0.000000000000000000e+00
1.075000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.100000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.125000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.150000000000000000e+01 -0.000000000000000000e+00 0.000000000000000000e+00
1.175000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.200000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
